Folder,Title,Login,Password,Website Address,Notes,Shared Folder,Custom Field1 Name,Custom Field1 Value,Custom Field2 Name,Custom Field2 Value
"Clients\Client1\Development\Servers","Client1 Dev Server","admin","C1DevPass123!","https://dev.client1.com","Client1 development environment access","","Environment","Development","Client","Client1"
"Clients\Client1\Production\Databases","Client1 Production DB","db_admin","C1ProdDB$ecure2024","mysql://prod.client1.com:3306","Client1 production database credentials","","Database","MySQL","Client","Client1"
"Clients\Client1\Development\Source Control","Client1 GitHub","dev@client1.com","C1GithubToken_xyz789","https://github.com/client1","Client1 GitHub repositories access","","Role","Admin","Client","Client1"
"Clients\Client1\Cloud\AWS","Client1 AWS Account","admin@client1.com","C1AWSMaster#2024","https://client1.aws.amazon.com","Client1 AWS root account","","Account ID","111111111111","Client","Client1"
"Clients\Client1\SaaS\Microsoft","Client1 Office 365","admin@client1.com","C1O365Admin!2024","https://client1.admin.microsoft.com","Client1 Office 365 admin account","","License","E5","Client","Client1"
"Clients\Client1\Marketing\Analytics","Client1 Analytics","marketing@client1.com","C1Analytics2024$","https://analytics.client1.com","Client1 analytics dashboard","","Platform","GA4","Client","Client1"
"Clients\Client1\Finance\Applications","Client1 Finance App","finance@client1.com","C1FinApp#Secure2024","https://finance.client1.com","Client1 financial application","","ERP","SAP","Client","Client1"
"Clients\Client1\Support\Tools","Client1 Support Portal","support@client1.com","C1SupportTool2024!","https://support.client1.com","Client1 support system","","Platform","Zendesk","Client","Client1"
"Clients\Client1\HR\Systems","Client1 HR System","hr@client1.com","C1HRSystem$2024","https://hr.client1.com","Client1 HR management system","","System","Workday","Client","Client1"
"Clients\Client1\IT\Backup","Client1 Backup Server","backup@client1.com","C1BackupSecure#2024","https://backup.client1.com","Client1 backup server access","","Solution","Veeam","Client","Client1"
"Clients\Client1\IT\Network","Client1 VPN Server","vpn@client1.com","C1VPN$ecure2024","https://vpn.client1.com","Client1 VPN server management","","Type","OpenVPN","Client","Client1"
"Clients\Client1\Development\Testing","Client1 Test Environment","test@client1.com","C1TestEnv123!","https://test.client1.com","Client1 testing environment","","Environment","QA","Client","Client1"
"Clients\Client1\Security\Certificates","Client1 SSL Manager","certs@client1.com","C1CertManager2024$","https://certs.client1.com","Client1 SSL certificate manager","","Provider","Let's Encrypt","Client","Client1"
"Clients\Client1\IT\Monitoring","Client1 Monitoring","monitor@client1.com","C1Monitor#2024","https://monitor.client1.com","Client1 monitoring dashboard","","Tool","Datadog","Client","Client1"
"Clients\Client1\IT\Email","Client1 Email Server","email@client1.com","C1EmailServer2024!","https://mail.client1.com","Client1 email server admin","","Server","O365","Client","Client1" 
